赛季,球员姓名,国家,球队,身高,体重,位置,上场时间,场均得分,篮板,助攻,盖帽,防守,效率,命中率
2012-2013,拉塞尔 威斯布鲁克,美国,雷霆,1米91,"84,8 公斤",后卫,33.8,24.0,6.5,7.0,0.0,6.0,23.5,41.5
2012-2013,斯蒂芬 库里,美国,勇士,1米91,"83,9 公斤",后卫,41.4,23.4,3.8,8.1,0.1,3.4,22.5,43.4
2012-2013,克里斯 保罗,美国,快船,1米83,"79,4 公斤",后卫,37.3,22.8,4.0,6.3,0.0,3.5,25.7,53.3
2012-2013,布鲁克 洛佩兹,美国,篮网,2米13,"120,2 公斤",中锋,37.6,22.3,7.4,1.4,3.0,3.3,22.7,47.2
2012-2013,泰 劳森,美国,掘金,1米80,"88,5 公斤",后卫,39.4,21.3,3.3,8.0,0.0,2.5,21.2,44.0
2012-2013,托尼 帕克,法国,马刺,1米88,"83,9 公斤",后卫,36.4,20.6,3.3,7.0,0.1,2.6,18.9,45.8
2012-2013,德隆 威廉姆斯,美国,篮网,1米91,"94,8 公斤",后卫,41.7,20.6,3.1,8.4,0.5,3.0,20.9,42.5
2012-2013,杰夫 格林,美国,凯尔特人,2米06,"106,6 公斤",前锋,43.0,20.3,5.3,2.3,0.6,4.3,16.7,43.5
2012-2013,保罗 乔治,美国,步行者,2米03,"100,2 公斤",前锋-后卫,41.0,19.2,7.4,5.1,0.4,6.6,19.4,43.0
2012-2013,保罗 皮尔斯,美国,凯尔特人,2米01,"106,6 公斤",前锋,42.5,19.2,5.7,5.3,0.5,5.0,14.5,36.8
2012-2013,钱德勒 帕森斯,美国,火箭,2米06,"103,0 公斤",前锋,39.6,18.2,6.5,3.7,0.3,5.3,16.5,45.2
2012-2013,蒂姆 邓肯,美国维尔京群岛,马刺,2米11,"115,7 公斤",前锋,35.0,18.1,10.2,1.9,1.6,7.6,21.7,47.0
2012-2013,安德鲁 伊格达拉,美国,掘金,1米98,"93,9 公斤",后卫-前锋,40.6,18.0,8.0,5.3,0.3,6.5,23.3,50.0
2012-2013,扎克 兰多夫,美国,灰熊,2米06,"117,9 公斤",前锋,37.0,17.4,10.0,1.6,0.4,6.1,18.3,46.0
2012-2013,马克 加索尔,西班牙,灰熊,2米16,"120,2 公斤",中锋,40.6,17.2,8.5,3.2,2.2,6.8,22.1,45.4
2012-2013,贾瑞特 杰克,美国,勇士,1米91,"89,4 公斤",后卫,35.5,17.2,4.4,4.7,0.3,3.8,17.6,50.6
2012-2013,迈克 康利,美国,灰熊,1米85,"83,9 公斤",后卫,38.3,17.0,4.7,7.1,0.3,3.9,18.3,38.4
2012-2013,罗伊 希伯特,美国,步行者,2米18,"127,0 公斤",中锋,36.5,17.0,9.9,1.4,1.9,5.2,21.0,51.1
2012-2013,德怀特 霍华德,美国,湖人,2米11,"120,2 公斤",中锋,31.6,17.0,10.8,1.0,2.0,8.3,18.3,61.9
2012-2013,约什 史密斯,美国,老鹰,2米06,"102,1 公斤",前锋,33.2,17.0,7.5,3.5,0.5,5.8,16.3,43.3
2012-2013,艾尔 霍福德,多明尼加共和国,老鹰,2米08,"113,4 公斤",中锋-前锋,36.3,16.7,8.8,3.0,0.8,6.8,20.3,49.4
2012-2013,卡洛斯 布泽尔,美国,公牛,2米06,"120,7 公斤",前锋,35.9,16.4,9.6,1.5,0.0,6.7,17.8,49.4
2012-2013,内特 罗宾逊,美国,公牛,1米75,"81,6 公斤",后卫,33.7,16.3,2.7,4.4,0.1,2.2,13.3,43.6
2012-2013,哈里森 巴恩斯,美国,勇士,2米03,"95,3 公斤",前锋,38.4,16.1,6.4,1.3,0.4,4.9,15.5,44.4
2012-2013,德怀恩 韦德,美国,热火,1米93,"99,8 公斤",后卫,35.6,15.9,4.6,4.8,1.0,2.9,16.7,45.7
2012-2013,大卫 韦斯特,美国,步行者,2米06,"113,4 公斤",前锋,36.2,15.9,7.6,2.1,0.7,5.4,16.4,46.2
2012-2013,克莱 汤普森,美国,勇士,2米01,"93,0 公斤",后卫,41.3,15.2,4.6,1.8,0.5,3.8,12.9,43.7
2012-2013,乔 约翰逊,美国,篮网,2米01,"108,9 公斤",后卫,38.8,14.9,3.2,2.7,0.0,2.6,11.4,41.7
2012-2013,乔治 希尔,美国,步行者,1米88,"86,2 公斤",后卫,38.1,14.6,3.7,4.3,0.2,3.4,14.2,40.1
2012-2013,蒙塔 艾利斯,美国,雄鹿,1米91,"83,9 公斤",后卫,37.9,14.3,3.3,5.5,0.2,2.8,12.0,43.6
2012-2013,JR 史密斯,美国,尼克斯,1米98,"99,8 公斤",后卫,31.9,14.3,4.7,1.4,0.4,4.2,9.0,33.1
2012-2013,雷蒙德 菲尔顿,美国,尼克斯,1米85,"93,0 公斤",后卫,37.8,14.1,3.4,4.7,0.4,2.0,14.4,44.4
2012-2013,史蒂夫 布莱克,美国,湖人,1米91,"78,0 公斤",后卫,37.5,14.0,4.0,2.5,1.5,4.0,13.5,39.3
2012-2013,保罗 加索尔,西班牙,湖人,2米13,"113,4 公斤",前锋-中锋,36.4,14.0,11.6,6.5,0.7,9.8,22.0,48.1
2012-2013,凯文 马丁,美国,雷霆,2米01,"83,9 公斤",后卫,29.4,14.0,3.1,1.3,0.2,2.9,10.6,38.0
2012-2013,安德鲁 米勒,美国,掘金,1米88,"90,7 公斤",后卫,25.7,14.0,3.3,3.8,0.0,1.5,11.2,42.0
2012-2013,雷吉 杰克逊,美国,雷霆,1米91,"94,3 公斤",后卫,33.4,13.9,4.9,3.6,0.5,4.5,15.6,47.9
2012-2013,罗尔 邓,英国,公牛,2米06,"99,8 公斤",前锋,44.8,13.8,7.6,3.8,0.6,6.6,12.8,38.1
2012-2013,科怀 伦纳德,美国,马刺,2米01,"102,1 公斤",前锋-后卫,36.9,13.5,9.1,1.0,0.5,6.7,19.4,54.5
2012-2013,吉米 巴特勒,美国,公牛,2米01,"99,8 公斤",后卫-前锋,40.8,13.3,5.2,2.7,0.5,4.4,15.3,43.5
2012-2013,布兰登 詹宁斯,美国,雄鹿,1米85,"76,7 公斤",后卫,33.3,13.3,2.3,4.0,0.2,2.0,8.0,29.8
2012-2013,杰夫 蒂格,美国,老鹰,1米88,"82,1 公斤",后卫,35.5,13.3,2.8,5.0,0.3,2.3,10.8,33.3
2012-2013,布莱克 格里芬,美国,快船,2米08,"113,9 公斤",前锋,26.3,13.2,5.5,2.5,0.8,4.2,13.2,45.3
2012-2013,赛尔吉 伊巴卡,刚果,雷霆,2米08,"106,6 公斤",前锋-中锋,33.3,12.8,8.3,0.7,3.0,4.8,16.9,43.7
2012-2013,凯文 加内特,美国,凯尔特人,2米11,"114,8 公斤",中锋-前锋,35.3,12.7,13.7,3.5,1.0,12.2,23.3,50.0
2012-2013,史蒂夫 纳什,加拿大,湖人,1米91,"80,7 公斤",后卫,30.4,12.5,2.5,4.5,0.0,1.5,11.5,43.5
2013-2014,凯文 杜兰特,美国,雷霆,2米06,"108,9 公斤",前锋,42.9,29.6,8.9,3.9,1.3,7.6,27.4,46.0
2013-2014,勒布朗 詹姆斯,美国,热火,2米03,"113,4 公斤",前锋,38.2,27.4,7.1,4.8,0.5,6.4,29.6,56.5
2013-2014,詹姆斯 哈登,美国,火箭,1米96,"99,8 公斤",后卫,43.9,26.8,4.6,5.8,0.1,3.8,21.3,37.6
2013-2014,拉塞尔 威斯布鲁克,美国,雷霆,1米91,"90,7 公斤",后卫,38.7,26.7,7.3,8.1,0.3,4.9,26.9,42.0
2013-2014,拉马库斯 阿尔德里奇,美国,开拓者,2米11,"108,9 公斤",前锋,40.1,26.2,10.6,1.5,1.6,7.9,25.0,45.2
2013-2014,德怀特 霍华德,美国,火箭,2米11,"120,2 公斤",中锋-前锋,38.6,26.0,13.7,1.8,2.8,9.2,29.8,54.7
2013-2014,德玛尔 德罗赞,美国,猛龙,2米01,"98,0 公斤",后卫,40.3,23.9,4.1,3.6,0.2,3.7,19.0,38.5
2013-2014,布莱克 格里芬,美国,快船,2米08,"113,9 公斤",前锋,36.8,23.5,7.4,3.8,1.0,4.7,23.8,50.0
2013-2014,斯蒂芬 库里,美国,勇士,1米91,"83,9 公斤",后卫,42.4,23.0,3.6,8.4,0.1,3.0,23.1,44.0
2013-2014,达米安 利拉德,美国,开拓者,1米91,"88,5 公斤",后卫,42.3,22.9,5.1,6.5,0.0,4.0,22.6,43.9
2013-2014,保罗 乔治,美国,步行者,2米06,"99,8 公斤",前锋-后卫,41.1,22.6,7.6,3.8,0.3,6.9,23.3,43.8
2013-2014,乔 约翰逊,美国,篮网,2米01,"108,9 公斤",后卫,39.1,21.2,3.9,2.9,0.2,3.1,19.3,53.3
2013-2014,凯尔 洛瑞,美国,猛龙,1米83,"93,0 公斤",后卫,38.8,21.1,4.7,4.7,0.0,3.4,18.4,40.4
2013-2014,蒙塔 艾利斯,美国,小牛,1米91,"83,9 公斤",后卫,35.6,20.4,2.5,2.9,0.1,1.6,13.7,40.9
2013-2014,克里斯 保罗,美国,快船,1米83,"79,4 公斤",后卫,36.3,19.8,4.2,10.3,0.0,3.3,25.2,46.7
2013-2014,肯巴 沃克,美国,黄蜂,1米85,"83,5 公斤",后卫,38.2,19.5,3.8,6.0,0.7,3.5,20.0,47.3
2013-2014,保罗 米尔萨普,美国,老鹰,2米03,"114,8 公斤",前锋,38.2,19.4,10.9,2.9,1.8,7.9,23.1,39.8
2013-2014,钱德勒 帕森斯,美国,火箭,2米06,"103,0 公斤",前锋,41.7,19.3,6.8,2.3,0.3,5.8,18.2,43.8
2013-2014,杰夫 蒂格,美国,老鹰,1米88,"82,1 公斤",后卫,34.6,19.3,3.7,5.0,0.5,3.0,16.6,39.3
2013-2014,布拉德利  比尔,美国,奇才,1米96,"93,9 公斤",后卫,41.6,19.2,5.0,4.5,0.6,3.6,18.7,42.4
2013-2014,德克 诺维茨基,德国,小牛,2米13,"111,1 公斤",前锋,37.5,19.1,8.0,1.6,0.8,7.3,17.1,42.9
2013-2014,艾尔 杰弗森,美国,黄蜂,2米08,"131,1 公斤",中锋,35.3,18.7,9.3,0.7,1.6,7.3,21.0,49.1
2013-2014,泰 吉布森,美国,公牛,2米06,"102,1 公斤",前锋-中锋,30.7,18.2,6.2,0.4,2.4,2.0,19.2,56.1
2013-2014,扎克 兰多夫,美国,灰熊,2米06,"117,9 公斤",前锋,39.1,18.2,8.6,2.3,0.1,5.8,15.5,40.4
2013-2014,德怀恩 韦德,美国,热火,1米93,"99,8 公斤",后卫,34.6,17.8,3.9,3.9,0.2,3.1,16.6,50.0
2013-2014,托尼 帕克,法国,马刺,1米88,"83,9 公斤",后卫,31.3,17.4,1.9,4.8,0.0,1.7,13.7,48.6
2013-2014,马克 加索尔,西班牙,灰熊,2米16,"120,2 公斤",中锋,42.8,17.3,7.8,4.4,0.8,5.9,19.4,40.5
2013-2014,克莱 汤普森,美国,勇士,2米01,"93,0 公斤",后卫,36.7,16.4,3.5,3.6,0.7,2.9,14.0,40.8
2013-2014,蒂姆 邓肯,美国维尔京群岛,马刺,2米11,"113,4 公斤",前锋,32.7,16.3,9.1,2.0,1.2,6.3,20.9,52.3
2013-2014,约翰 沃尔,美国,奇才,1米93,"88,5 公斤",后卫,38.1,16.3,4.0,7.1,0.7,3.5,15.5,36.6
2013-2014,迈克 康利,美国,灰熊,1米85,"83,9 公斤",后卫,38.1,15.9,4.6,7.9,0.1,3.9,19.1,43.1
2013-2014,贾马尔 克劳福德,美国,快船,1米96,"90,7 公斤",后卫,24.0,15.5,1.5,2.0,0.1,1.1,10.6,39.8
2013-2014,尼古拉斯 巴图姆,法国,开拓者,2米03,"90,7 公斤",前锋,41.7,15.2,7.6,4.8,0.4,6.7,19.8,47.2
2013-2014,大卫 韦斯特,美国,步行者,2米06,"113,4 公斤",前锋,36.2,15.1,6.8,3.9,0.7,5.5,17.6,49.4
2013-2014,克里斯 波什,美国,热火,2米11,"106,6 公斤",中锋-前锋,34.3,14.9,5.6,1.1,1.0,4.4,16.5,50.7
2013-2014,韦斯利 马休斯,美国,开拓者,1米96,"99,8 公斤",后卫,38.7,14.5,3.9,1.3,0.4,3.3,11.6,41.2
2013-2014,德隆 威廉姆斯,美国,篮网,1米91,"94,8 公斤",后卫,35.7,14.5,3.2,5.8,0.1,2.6,14.1,39.5
2013-2014,马努 吉诺比利,阿根廷,马刺,1米98,"93,0 公斤",后卫,25.5,14.3,3.3,4.1,0.0,2.9,14.8,43.9
2013-2014,科怀 伦纳德,美国,马刺,2米01,"104,3 公斤",前锋-后卫,32.0,14.3,6.7,1.7,0.6,5.4,17.8,51.0
2013-2014,大卫 李,美国,勇士,2米06,"108,9 公斤",前锋,31.1,13.9,9.1,2.6,0.0,5.7,18.0,53.2
2013-2014,内内,巴西,奇才,2米11,"113,4 公斤",前锋-中锋,32.5,13.7,5.3,2.6,1.1,4.5,12.8,46.4
2013-2014,保罗 皮尔斯,美国,篮网,2米01,"106,6 公斤",前锋,30.7,13.7,4.5,2.0,0.3,4.2,13.7,46.5
2013-2014,特雷沃 阿里扎,美国,奇才,2米03,"99,8 公斤",前锋,37.0,13.6,8.9,1.7,0.3,7.0,19.3,48.1
2013-2014,吉米 巴特勒,美国,公牛,2米01,"99,8 公斤",后卫-前锋,43.5,13.6,5.2,2.2,0.0,4.0,13.6,38.6
2013-2014,兰斯 史蒂文森,美国,步行者,1米96,"104,3 公斤",后卫,37.1,13.6,6.9,4.2,0.2,5.6,16.3,45.5
2013-2014,凯尔 科沃尔,美国,老鹰,2米01,"96,2 公斤",后卫-前锋,35.7,13.4,5.3,0.7,0.2,5.0,13.4,45.5
2013-2014,JJ 雷迪克,美国,快船,1米93,"86,2 公斤",后卫,27.0,13.3,1.7,1.5,0.0,1.4,10.7,45.9
2013-2014,D.J. 奥古斯汀,美国,公牛,1米83,"83,0 公斤",后卫,28.2,13.2,1.6,4.8,0.0,0.8,7.8,29.2
2013-2014,迈克 邓利维,美国,公牛,2米06,"104,3 公斤",前锋,32.6,13.2,3.6,2.4,0.2,2.6,13.0,47.2
2013-2014,安德鲁 伊格达拉,美国,勇士,1米98,"93,9 公斤",前锋-后卫,35.5,13.1,4.7,4.4,0.2,4.0,14.7,51.6
2014-2015,安东尼 戴维斯,美国,鹈鹕,2.08,99.8 公斤,前锋-中锋,43.0,31.5,11.0,2.0,3.0,8.8,34.5,54.0
2014-2015,勒布朗 詹姆斯,美国,骑士,2.03,113.4 公斤,前锋,42.2,30.1,11.3,8.5,1.1,9.5,30.3,41.7
2014-2015,斯蒂芬 库里,美国,勇士,1.90,86.2 公斤,后卫,39.3,28.3,5.0,6.4,0.1,4.0,25.5,45.6
2014-2015,詹姆斯 哈登,美国,火箭,1.96,102.1 公斤,后卫,37.4,27.2,5.7,7.5,0.4,5.0,27.4,43.9
2014-2015,蒙塔 艾利斯,美国,小牛,1.90,83.9 公斤,后卫,39.4,26.0,3.2,5.2,0.6,2.4,21.0,46.8
2014-2015,布莱克 格里芬,美国,快船,2.08,113.9 公斤,前锋,39.8,25.5,12.7,6.1,1.0,10.0,31.4,51.1
2014-2015,布拉德利  比尔,美国,奇才,1.96,93.9 公斤,后卫,41.8,23.4,5.5,4.6,0.7,4.1,20.3,40.5
2014-2015,吉米 Butler III,美国,公牛,2.01,99.8 公斤,后卫-前锋,42.2,22.9,5.6,3.2,0.8,4.1,22.1,44.1
2014-2015,克里斯 保罗,美国,快船,1.83,79.4 公斤,后卫,37.1,22.1,4.4,8.8,0.3,3.8,27.1,50.3
2014-2015,拉马库斯 阿尔德里奇,美国,开拓者,2.11,108.9 公斤,前锋,41.6,21.8,11.2,1.8,2.4,7.0,20.2,33.0
2014-2015,达米安 利拉德,美国,开拓者,1.90,88.5 公斤,后卫,40.2,21.6,4.0,4.6,0.6,3.6,16.0,40.6
2014-2015,德克 诺维茨基,德国,小牛,2.13,111.1 公斤,前锋,36.2,21.2,10.4,2.4,0.4,9.6,23.2,45.2
2014-2015,德玛尔 德罗赞,美国,猛龙,2.01,99.8 公斤,后卫,39.8,20.3,6.3,5.8,0.0,5.0,18.5,40.0
2014-2015,科怀 伦纳德,美国,马刺,2.01,104.3 公斤,前锋,35.7,20.3,7.4,2.6,0.6,5.6,20.6,47.7
2014-2015,德里克 罗斯,美国,公牛,1.90,86.2 公斤,后卫,37.8,20.3,4.8,6.5,0.5,3.8,18.0,39.6
2014-2015,布鲁克 洛佩兹,美国,篮网,2.13,124.7 公斤,中锋,39.0,19.8,9.0,0.8,2.2,5.7,23.0,49.4
2014-2015,马克 加索尔,西班牙,灰熊,2.16,120.2 公斤,中锋,37.8,19.7,10.3,4.5,1.7,8.5,24.5,39.4
2014-2015,凯尔 欧文,澳洲,骑士,1.90,87.5 公斤,后卫,35.7,19.0,3.6,3.8,0.8,2.8,18.2,43.8
2014-2015,克莱 汤普森,美国,勇士,2.01,97.5 公斤,后卫,36.2,18.6,3.9,2.6,0.9,3.4,15.5,44.6
2014-2015,埃里克 戈登,美国,鹈鹕,1.93,97.5 公斤,后卫,35.8,18.5,2.3,3.8,0.5,1.8,14.0,44.4
2014-2015,蒂姆 邓肯,美国维尔京群岛,马刺,2.11,113.4 公斤,前锋,35.7,17.9,11.1,3.3,1.4,8.4,26.6,58.9
2014-2015,以赛亚 托马斯,美国,凯尔特人,1.75,83.9 公斤,后卫,29.8,17.5,3.0,7.0,0.0,2.8,15.5,33.3
2014-2015,约翰 沃尔,美国,奇才,1.93,88.5 公斤,后卫,39.0,17.4,4.7,11.9,1.4,4.0,22.6,39.1
2014-2015,CJ 迈克勒姆,美国,开拓者,1.93,90.7 公斤,后卫,33.2,17.0,4.0,0.4,0.2,3.8,14.0,47.8
2014-2015,杰夫 蒂格,美国,老鹰,1.88,82.1 公斤,后卫,33.1,16.8,3.2,6.7,0.4,2.6,16.6,41.0
2014-2015,乔 约翰逊,美国,篮网,2.01,108.9 公斤,前锋-后卫,41.5,16.5,7.7,4.8,0.0,6.8,18.5,36.2
2014-2015,德怀特 霍华德,美国,火箭,2.11,124.7 公斤,中锋,33.8,16.4,14.0,1.2,2.3,10.4,22.8,57.7
2014-2015,克里斯 米德尔顿,美国,雄鹿,2.01,102.1 公斤,后卫-前锋,38.7,15.8,3.7,2.0,0.5,2.5,13.0,38.0
2014-2015,扎克 兰多夫,美国,灰熊,2.06,117.9 公斤,前锋,34.7,15.6,8.5,2.1,0.0,5.5,15.5,42.3
2014-2015,保罗 米尔萨普,美国,老鹰,2.03,114.8 公斤,前锋,35.4,15.2,8.7,3.4,0.9,6.4,18.6,40.7
2014-2015,JJ 雷迪克,美国,快船,1.93,86.2 公斤,后卫,38.6,14.9,2.1,1.7,0.4,2.1,11.3,43.5
2014-2015,德马尔 卡罗尔,美国,老鹰,2.03,96.2 公斤,前锋,34.9,14.6,6.1,2.0,0.3,4.4,16.9,48.6
2014-2015,保罗 皮尔斯,美国,奇才,2.01,106.6 公斤,前锋,29.8,14.6,4.2,0.9,0.7,4.2,14.6,48.5
2014-2015,迈克 康利,美国,灰熊,1.85,79.4 公斤,后卫,30.4,14.4,1.1,5.0,0.0,1.1,12.9,42.7
2014-2015,保罗 加索尔,西班牙,公牛,2.13,113.4 公斤,前锋-中锋,31.7,14.4,9.4,3.1,2.1,7.7,20.5,48.7
2014-2015,艾尔 霍福德,多明尼加共和国,老鹰,2.08,113.4 公斤,中锋-前锋,32.6,14.4,8.6,3.7,1.4,6.1,20.6,50.7
2014-2015,凯文 乐福,美国,骑士,2.08,110.2 公斤,前锋,26.8,14.3,7.0,2.5,0.5,5.5,15.8,41.5
2014-2015,尼古拉斯 巴图姆,法国,开拓者,2.03,90.7 公斤,前锋,41.8,14.2,8.6,5.2,0.2,7.4,16.2,34.3
2014-2015,德雷蒙德 格林,美国,勇士,2.01,104.3 公斤,前锋,37.3,13.7,10.1,5.2,1.2,7.9,21.5,41.7
2014-2015,约什 史密斯,美国,火箭,2.06,102.1 公斤,前锋,23.3,13.5,5.6,2.7,1.0,4.1,12.2,43.8
2014-2015,康特尼 李,美国,灰熊,1.96,90.7 公斤,后卫,33.4,13.3,2.5,2.2,0.0,2.3,13.7,55.0
2014-2015,特雷沃 阿里扎,美国,火箭,2.03,97.5 公斤,前锋,38.5,13.2,6.4,2.6,0.1,5.4,16.5,42.6
2014-2015,德安德烈 乔丹,美国,快船,2.11,120.2 公斤,中锋,34.4,13.1,13.4,1.1,2.4,9.9,21.8,71.6
2014-2015,JR 史密斯,美国,骑士,1.98,102.1 公斤,后卫-前锋,31.1,12.8,4.7,1.2,0.6,4.2,12.3,40.3
2014-2015,路 威廉姆斯,美国,猛龙,1.85,79.4 公斤,后卫,25.5,12.8,1.8,1.3,0.0,1.3,7.0,31.4
2014-2015,贾马尔 克劳福德,美国,快船,1.96,90.7 公斤,后卫,27.1,12.7,2.1,1.9,0.2,1.7,7.9,36.0
2014-2015,马辛 戈塔特,波兰,奇才,2.11,108.9 公斤,中锋,30.7,12.4,8.8,2.2,1.1,6.1,19.5,62.8
2014-2015,埃弗里 布拉德利,美国,凯尔特人,1.88,81.6 公斤,后卫,33.3,12.3,3.8,0.8,0.0,3.0,8.8,38.0
2014-2015,贾瑞特 杰克,美国,篮网,1.90,90.7 公斤,后卫,25.5,12.3,4.2,4.5,0.2,3.8,14.7,51.9
2014-2015,凯尔 洛瑞,美国,猛龙,1.83,93.0 公斤,后卫,32.8,12.3,5.5,4.8,0.0,3.8,10.3,31.6
2015-2016,凯文 杜兰特,美国,雷霆,2.06,108.9 公斤,前锋,40.3,28.4,7.1,3.3,1.0,6.4,23.4,43.0
2015-2016,保罗 乔治,美国,步行者,2.06,99.8 公斤,前锋,39.3,27.3,7.6,4.3,0.7,6.3,28.6,45.5
2015-2016,詹姆斯 哈登,美国,火箭,1.96,99.8 公斤,后卫,38.6,26.6,5.2,7.6,0.2,3.8,23.6,41.0
2015-2016,达米安 利拉德,美国,开拓者,1.90,88.5 公斤,后卫,39.7,26.5,4.3,6.3,0.3,3.2,21.0,36.8
2015-2016,勒布朗 詹姆斯,美国,骑士,2.03,113.4 公斤,前锋,39.1,26.3,9.5,7.6,1.3,7.5,32.0,52.5
2015-2016,拉塞尔 威斯布鲁克,美国,雷霆,1.90,90.7 公斤,后卫,37.4,26.0,6.9,11.0,0.1,4.6,27.9,40.5
2015-2016,凯尔 欧文,澳洲,骑士,1.90,87.5 公斤,后卫,36.9,25.2,3.0,4.7,0.6,2.2,21.8,47.5
2015-2016,斯蒂芬 库里,美国,勇士,1.90,86.2 公斤,后卫,34.1,25.1,5.5,5.2,0.3,4.7,22.4,43.8
2015-2016,克莱 汤普森,美国,勇士,2.01,97.5 公斤,后卫,35.4,24.3,3.7,2.3,0.4,3.0,18.6,44.4
2015-2016,以赛亚 托马斯,美国,凯尔特人,1.75,83.9 公斤,后卫,36.7,24.2,3.0,5.0,0.8,2.7,17.8,39.5
2015-2016,克里斯 保罗,美国,快船,1.83,79.4 公斤,后卫,31.3,23.8,4.0,7.3,0.0,3.0,26.5,48.7
2015-2016,肯巴 沃克,美国,黄蜂,1.85,83.5 公斤,后卫,37.1,22.7,3.0,4.0,0.6,2.6,15.7,36.6
2015-2016,科怀 伦纳德,美国,马刺,2.01,104.3 公斤,前锋,33.9,22.5,6.3,2.8,1.4,4.9,24.8,50.0
2015-2016,拉马库斯 阿尔德里奇,美国,马刺,2.11,108.9 公斤,前锋,33.7,21.9,8.3,1.0,1.4,6.1,23.3,52.1
2015-2016,德怀恩 韦德,美国,热火,1.93,99.8 公斤,后卫,33.8,21.4,5.6,4.3,0.9,4.8,19.7,46.9
2015-2016,德玛尔 德罗赞,美国,猛龙,2.01,99.8 公斤,后卫,37.3,20.9,4.2,2.7,0.2,3.5,13.6,39.4
2015-2016,CJ 迈克勒姆,美国,开拓者,1.93,90.7 公斤,后卫,40.2,20.5,3.6,3.3,0.5,3.0,15.8,42.6
2015-2016,德克 诺维茨基,德国,小牛,2.13,111.1 公斤,前锋,34.0,20.4,4.8,1.6,0.6,4.2,17.8,49.4
2015-2016,凯尔 洛瑞,美国,猛龙,1.83,93.0 公斤,后卫,38.3,19.1,4.7,6.0,0.2,3.8,17.1,39.7
2015-2016,埃弗里 布拉德利,美国,凯尔特人,1.88,81.6 公斤,后卫,33.0,18.0,3.0,1.0,1.0,1.0,14.0,43.8
2015-2016,马库斯 莫里斯,美国,活塞,2.06,106.6 公斤,前锋,36.0,17.8,3.3,2.5,0.0,2.8,15.8,46.8
2015-2016,贾马尔 克劳福德,美国,快船,1.96,88.5 公斤,后卫,33.2,17.3,2.2,2.2,0.0,1.8,10.7,37.9
2015-2016,安德鲁 德拉蒙德,美国,活塞,2.11,126.6 公斤,中锋,32.8,16.8,9.0,0.0,1.5,6.0,14.3,51.9
2015-2016,保罗 米尔萨普,美国,老鹰,2.03,111.6 公斤,前锋,36.5,16.7,9.4,2.7,2.3,6.6,20.6,43.1
2015-2016,戈兰 德拉季奇,斯洛文尼亚,热火,1.90,86.2 公斤,后卫,33.7,16.5,4.9,3.9,0.2,4.1,14.8,44.2
2015-2016,德雷蒙德 格林,美国,勇士,2.01,104.3 公斤,前锋,38.2,15.4,9.9,6.0,1.8,8.3,24.3,43.1
2015-2016,肯塔维奥斯 考德威尔-波普,美国,活塞,1.96,93.0 公斤,后卫,40.3,15.3,4.3,2.8,0.3,3.8,16.3,44.0
2015-2016,雷蒙德 菲尔顿,美国,小牛,1.85,93.0 公斤,后卫,34.4,15.0,4.6,4.6,0.0,4.2,14.8,46.4
2015-2016,布莱克 格里芬,美国,快船,2.08,113.9 公斤,前锋,31.8,15.0,8.8,4.0,0.5,7.0,17.0,37.7
2015-2016,凯文 乐福,美国,骑士,2.08,113.9 公斤,前锋,30.7,14.7,8.8,2.1,0.4,7.1,17.1,38.5
2015-2016,艾尔-法鲁克 阿米奴,美国,开拓者,2.06,97.5 公斤,前锋,33.8,14.6,8.6,1.8,0.9,6.5,17.5,43.8
2015-2016,托拜厄斯 哈里斯,美国,活塞,2.06,106.6 公斤,前锋,39.0,14.5,9.5,3.0,0.8,8.0,20.5,45.7
2015-2016,杰夫 蒂格,美国,老鹰,1.88,84.4 公斤,后卫,27.9,14.5,1.9,6.1,0.2,1.6,12.5,38.0
2015-2016,雷吉 杰克逊,美国,活塞,1.90,94.3 公斤,后卫,36.8,14.3,3.3,9.3,0.5,2.8,18.8,45.5
2015-2016,乔纳斯 瓦兰西尤纳斯,立陶宛,猛龙,2.13,115.7 公斤,中锋,26.8,13.8,10.8,0.9,1.2,6.8,20.8,56.7
2015-2016,乔治 希尔,美国,步行者,1.90,85.3 公斤,后卫,33.6,13.6,2.7,2.1,0.1,1.9,14.1,56.1
2015-2016,JJ 雷迪克,美国,快船,1.93,86.2 公斤,后卫,27.7,13.5,2.0,0.8,0.2,1.8,8.2,43.0
2015-2016,艾尔 霍福德,多明尼加共和国,老鹰,2.08,111.1 公斤,中锋-前锋,32.7,13.4,6.5,3.1,2.4,5.2,18.6,46.6
2015-2016,罗尔 邓,英国,热火,2.06,99.8 公斤,前锋,35.4,13.3,5.9,1.6,0.6,4.6,15.1,47.1
2015-2016,艾尔 杰弗森,美国,黄蜂,2.08,131.1 公斤,中锋,24.0,13.3,6.1,1.1,0.4,4.1,14.3,50.6
2015-2016,德怀特 霍华德,美国,火箭,2.11,120.2 公斤,中锋,36.0,13.2,14.0,1.6,1.4,8.8,19.4,54.2
2015-2016,埃文 特纳,美国,凯尔特人,2.01,99.8 公斤,后卫-前锋,35.7,13.2,5.7,4.5,1.0,4.3,13.2,36.5
2015-2016,韦斯利 马休斯,美国,小牛,1.96,99.8 公斤,后卫-前锋,34.6,13.0,3.6,1.2,0.0,2.8,9.4,33.3
